,udc,keywords
0,517,"['подпоследовательн', 'последовательн', 'жп', 'предположен', '€', 'функц', 'услов', 'см', 'сходя', 'эквив', 'ме', 'использ', 'прочита', 'автор', 'о', 'х', 'следств', 'выполн', 'утвержден', 'п', 'след', 'получа', 'компакт', 'теор', 'равносильн', 'имеет', 'пуст', 'существ', 'строг', 'услов', 'результат', 'ограничен', 'выражен', 'те', 'интегральн', 'о', 'слаб', 'эффект', 'формальн', 'еп', 'борелевск', 'врем', 'удовлетворя', 'случа', 'сил', 'непр', 'некотор', 'противореч', 'е', 'п', 'последовательн', 'уп', 'тов', 'хот', 'рас', 'оста']"
1,512,"['групп', 'произведен', 'секц', 'сибирск', 'ран', 'гов', 'множ', 'положительн', 'последн', 'люб', 'нор', 'мальн', 'общност', 'силовск', 'следовательн', 'полож', 'ул', 'соответствен', 'котор', 'подгрупп', 'счита', 'фонд', 'рассужден', 'замен', 'номер', 'постро', 'содерж', 'редколлег', 'групп', 'нормальн', 'порядк', 'изоморфн', 'доказательств', 'конечн', 'теор', 'цеп', 'нов', 'одн', 'сил', 'секц', 'либ', 'определ', 'групп', 'нормальн', 'циклическ', 'явля', 'секц', 'произведен', 'существ', 'вопрос', 'чисел', 'аабутурлакин', 'стар', 'положительн', 'хухр', 'иском']"
2,517,"['х', 'отрезк', 'параграф', 'обознач', 'функц', 'имеют', 'задач', 'сил', 'г', 'ближен', 'завис', 'достаточн', 'асимптотическ', 'работ', 'уравнен', 'точк', 'след', '±', 'запаздыван', 'перемен', 'отрезк', 'решен', 'дал', '–', 'удк', 'некотор', 'угодн', 'согласн', 'мал', 'тип', 'перемен', 'име', 'г', 'хи', 'лив', 'раз', 'числ', 'предыдущ', 'так', 'дел', 'те', 'воз', 'метод', 'ясн', 'последовательн', 'доказа', 'получ', 'оказыва', 'теорем', 'стро', 'найт', 'начальн', 'общероссийск', 'полож', 'скол', 'выполня']"
3,517,"['°', 'двух', 'числ', 'свойств', 'тройк', 'достаточн', 'о', 'множеств', 'ма', 'положительн', 'рассматрива', '»', 'е', 'уравнен', 'имеет', 'управля', 'случа', 'буд', 'г', 'жданов', 'декабр', 'т', 'использован', 'теор', 'противн', 'состоя', 'управляем', 'след', 'тип', 'образ', 'буд', 'свойств', 'мест', 'счита', 'дифференциальн', 'кусочнопостоя', 'щим', 'теор', 'ямерн', 'щ', 'ляющ', 'сист', 'комбинац', 'необходим', 'прич', 'пар', 'представлен', 'говор', 'явля', '»', 'л', 'дифференц', 'ленинградск', 'м', 'совокупн', 'котор']"
4,510,"['метаперемен', 'множеств', 'называ', 'проверк', 'букв', 'дел', 'эт', 'выражен', 'поэт', 'язык', 'имеет', 'так', 'свойств', 'перемен', 'прав', 'фрейм', 'означиван', 'буд', 'пуст', 'сгустк', 'модальн', 'вывод', 'отношен', 'числ', 'выполня', 'явля', 'квазитожд', 'кажд', 'логик', 'подмножеств', 'построен', 'см', 'показа', 'двух', 'верхн', 'глубин', 'удовлетворя', 'эффективн', 'обознач', 'произвольн', 'сво', 'класс', 'модел', 'вывод', 'образ', 'характеристическ', 'облада', 'набор', '∧', 'называ', 'метаперемен', '⇐⇒', 'ных', 'получ', 'перемен', 'глубин']"
5,512,"['теор', 'след', 'пуст', 'порожден', 'минимальн', 'включен', 'содерж', 'образ', 'абелев', 'меньш', 'сведен', 'привод', 'ри', '”', 'пуст', 'множеств', 'услов', 'алгебр', 'так', 'те', 'следств', 'подрешетк', 'относительн', 'удовлетворя', 'называ', 'замечан', 'вверх', 'ультрафильтр', 'решетк', 'универсальн', 'алгебр', 'дан', 'пример', 'решеток', '–', 'множеств', 'обознач', '⊇', 'двух', 'принят', 'результ', 'истин', 'доминион', 'люб', 'называ', 'включен', 'образ', 'подробн', 'решеток', 'всяк', 'универсальн', 'учитыв', 'подквазимногообраз', 'показыва', 'истин', 'разбиен']"
6,512,"['групп', 'множеств', 'сопостав', 'котор', 'длин', 'диск', 'произвольн', 'подстановк', 'часов', 'требуем', 'зада', 'ес', 'граф', 'бодн', 'некотор', 'коммутаторн', 'вычислен', 'результат', 'р', 'степен', 'постро', 'сам', 'групп', 'точн', 'ран', 'построен', 'пар', 'спариван', 'длин', 'пуст', 'алгебр', 'ребер', 'слов', 'бардак', 'сво', 'п', 'внутрен', 'буд', 'входя', 'исслед', 'соответствен', 'всяк', 'действ', 'г', 'числ', 'матриц', 'орб', 'е', 'пересечен', 'часов', 'поверхн', 'цикл', 'задач', 'ран', 'сопостав', 'имеющ']"
7,517,"['плотност', 'принадлеж', 'услов', 'класс', 'ху', 'повыша', 'справедлив', 'непрерывн', 'помощ', 'прям', 'коэффициент', 'г', 'смо', 'обозначен', 'област', 'сравнен', 'произвольн', 'входя', 'х', 'производн', 'норм', 'потенциа', 'однак', 'лаплас', 'сокращен', 'нормал', 'существ', 'след', 'выполн', '¥', 'п', 'ху', 'формулировк', 'шар', 'буд', 'л', 'угл', 'умножен', 'сумм', 'вычисл', 'потенциал', 'символ', 'завис', 'констант', 'производн', 'функц', 'порядк', 'буд', 'определител', 'ху', 'втор', 'однократн', 'обозначен', 'постав', 'ласт', 'номер']"
8,519.48,"['ах', 'пространств', 'получа', 'моном', 'соотношен', 'услов', 'доказа', 'точн', 'н', 'работ', 'мы', 'прежд', 'ввид', 'авт', 'определ', 'нескольк', 'очевидн', 'коэффициент', 'образ', 'сдела', 'ясн', 'х', 'ах', 'порожд', 'р', 'з', 'мо', 'гп', 'ассоциативн', 'хп', 'вид', 'коммутативн', 'коммутатор', 'некотор', 'ах', 'привод', 'продолж', 'такж', 'ахп', 'ход', 'следующ', 'следовательн', 'соотношен', 'равенств', 'теорем', 'хр', 'так', 'тех', 'неотрицательн', 'коэффициент', 'рассматрива', 'провер', 'комбинац', 'дал', 'пуст', 'зада']"
9,513.6,"['\x0f', '\x16\x05', '\x06\x08', '\x0f\x16', '\x07', '\x16', '\x04', '\x04\x08', '\x04\x06', '\x0f\x10', '\x10', '\x11\x03', '\x05\x08', '\x1a\x04', '\x05', '\x04', '\x06\x02\x05', '\x12\x05', '\x16\x10', '\x02\x1b', '\x03\x05\x08', '\x16\x03\x05', '\x03\x10', '\x12\x0f', '\x02\x03', 'порта', '\x04\x06\x0f', '\x03\x04\x11', '\x04', '\x03', '\x16', '\x19', '\x0f\x04\x04', '\x04\x0f\x10', '\x08\x06', '\x11\x06\x0f', '\x03\x10', '\x02', '\x11', '\x05\x10', '\x08\x10', '\x06\x19', '\x11', '\x10', '\x06\x02\x0f', '\x1a', '\x06', '\x05', '\x04\x06', '\x0f\x10', '\x03\x03\x05', '\x04', '\x03\x10', '\x10\x17\x12', '\x03\x04\x17', '\x06\x08\x1b']"
10,517,"['уравнен', 'сход', 'существован', 'вор', 'общероссийск', 'существ', 'сил', 'соглашен', 'вообщ', 'неограничен', 'векторфункц', 'равномерн', 'начин', 'интегральн', 'покаж', 'тип', 'отсюд', 'существ', 'непрерыв', 'больш', 'разумева', 'мо', 'существован', 'пространств', 'векторфунк', 'так', 'дифференциальн', 'шатал', 'след', '°', 'всюд', 'л', 'согласн', '«', 'отрезк', 'интегральн', 'определ', 'буд', 'непрерывн', 'векторфункц', 'уравнен', 'пуст', 'пол', 'тип', 'неотрицательн', 'том', 'преобраз', 'прочита', 'вид', 'ы', 'стем', 'векторфункц', 'порта', '–', 'б', 'найдет']"
11,517,"['уравнен', 'шар', 'скорост', 'обобщен', 'границ', 'исследован', 'норм', 'стокс', 'реш', 'поэт', 'слаб', 'шан', 'отл', 'слу', 'област', 'обознач', 'х', 'навьестокс', 'решен', 'услов', 'г', 'случа', 'см', 'задач', 'люб', 'стабилизир', 'усил', 'ют', 'решен', 'начальн', 'работ', 'сильн', 'неравенств', 'достаточн', 'критер', 'случа', 'оценк', 'уравнен', 'выш', 'огран', 'пуст', 'всем', 'функц', 'перв', 'ка', 'предполага', 'соотношен', 'больш', 'ни', 'получен', 'различн', 'некотор', 'необходим', 'втор', 'враща', 'глад']"
12,512,"['димоноид', 'равенств', 'связк', 'некотор', '–', 'связа', 'положительн', 'согласова', 'выражен', 'использова', 'из', 'мест', 'такж', 'наименьш', 'так', 'полож', 'сократим', 'лейбниц', 'см', 'наименьш', 'правил', 'коммутативн', 'зом', 'тентн', 'алгебраическ', 'извест', 'бых', 'отсюд', 'конгруэнц', 'определ', 'диалгебр', 'полугрупп', 'множеств', 'появ', 'ствен', 'поэт', 'непосредствен', 'использ', 'пример', 'согласн', 'дан', 'объединен', 'коммутативн', 'аксиом', 'ассоциативн', 'совпада', 'пуст', 'теор', 'аналог', 'имеют', 'лев', 'архимедов', 'свободн', 'исследован', 'настоя', '\uf8f1']"
13,511,"['систем', 'лемм', 'числ', 'знаменател', 'независим', 'котор', 'так', 'люб', 'больш', 'эт', 'прич', 'доказа', 'получ', 'пол', 'числ', 'пол', 'теорем', 'доказательств', '«', 'существ', 'цел', 'преодолет', 'нен', 'величин', 'так', 'вя', 'кром', 'тт', 'цел', 'последн', 'коэффициент', 'убед', 'фигурир', 'позволя', 'некотор', 'случа', 'получ', 'модул', 'пол', 'выполнен', 'стандартн', 'отвеча', 'доказательств', 'рассужден', 'уравнен', 'значен', 'рациональн', 'числител', 'доказыва', 'п', 'вопрос', 'такж', 'гипергеометрическ', 'так', 'сопряжен', 'нул']"
