,tags,name,udc
0,"['строен', 'образ', 'тор', 'конечн', 'групп', 'пуст', 'циклическ', 'числ', 'максимальн', 'элемент', 'прост', 'тип', 'так', 'доказательств', 'групп', 'числ', 'максимальн', 'тор', 'пуст', 'элемент', 'циклическ', 'конечн', 'тип', 'так', 'прост', 'образ', 'строен', 'доказательств', 'элемент', 'максимальн', 'групп', 'тор', 'пуст', 'числ', 'циклическ', 'прост', 'конечн', 'так', 'тип', 'образ', 'доказательств', 'строен', 'так', 'групп', 'пуст', 'тор', 'образ', 'конечн', 'максимальн', 'элемент', 'числ', 'циклическ', 'тип', 'прост', 'доказательств', 'строен']",al-1,512
1,"['инволюц', 'элемент', 'кажд', 'ω', 'транзитивн', 'групп', 'подгрупп', 'лемм', 'абелев', 'множеств', 'услов', 'люб', 'сильн', 'пуст', 'элемент', 'люб', 'групп', 'инволюц', 'множеств', 'абелев', 'подгрупп', 'лемм', 'ω', 'услов', 'кажд', 'теорем', 'пуст', 'совершен', 'абелев', 'множеств', 'элемент', 'пуст', 'инволюц', 'сильн', 'групп', 'подгрупп', 'лемм', 'люб', 'ω', 'услов', 'транзитивн', 'совершен', 'элемент', 'ω', 'теорем', 'пуст', 'совершен', 'групп', 'услов', 'инволюц', 'подгрупп', 'лемм', 'абелев', 'множеств', 'люб', 'кажд']",al-10,512
2,"['модел', 'след', 'теор', 'структур', 'удовлетворя', 'существ', 'элемент', 'расширен', 'предикат', 'множеств', 'шаг', 'категоричн', 'вычислим', 'люб', 'люб', 'кажд', 'вычислим', 'элемент', 'существ', 'минимальн', 'теор', 'так', 'определ', 'множеств', 'имеет', 'представлен', 'эквивалентн', 'либ', 'явля', 'предикат', 'удовлетворя', 'модел', 'свидетел', 'маркеровск', 'единствен', 'существ', 'шаг', 'котор', 'множеств', 'пуст', 'числ', 'теор', 'свойств', 'пуст', 'модел', 'вычислим', 'люб', 'маркеровск', 'предикат', 'котор', 'минимальн', 'шаг', 'так', 'структур', 'имеет', 'теор']",al-101,510
3,"['класс', 'булев', 'борелевск', 'некотор', 'операц', 'π', 'σ', 'множеств', 'люб', 'терм', 'вэдж', 'иерарх', 'пуст', 'явля', 'σ', 'борелевск', 'булев', 'последовательн', 'множеств', 'операц', 'явля', 'класс', 'люб', 'терм', 'вэдж', 'иерарх', 'пуст', 'π', 'σ', 'операц', 'некотор', 'пуст', 'класс', 'иерарх', 'вэдж', 'множеств', 'люб', 'терм', 'борелевск', 'булев', 'π', 'последовательн', 'терм', 'множеств', 'последовательн', 'некотор', 'π', 'операц', 'σ', 'класс', 'люб', 'борелевск', 'иерарх', 'вэдж', 'булев', 'пуст']",al-102,510
4,"['φ', 'пример', 'числ', 'структур', 'дан', 'элемент', 'класс', 'явля', 'вычислим', 'существ', 'пространств', 'так', 'сводим', 'пол', 'вершин', 'атомн', 'явля', 'некотор', 'конечн', 'элемент', 'такж', 'определен', 'пуст', 'структур', 'эквивалентн', 'прост', 'кажд', 'пример', 'конечн', 'φ', 'бесконечн', 'степен', 'кажд', 'диаграмм', 'пол', 'пример', 'существ', 'пространств', 'элемент', 'цеп', 'сводим', 'котор', 'класс', 'вложен', 'вычислим', 'существ', 'так', 'числ', 'линейн', 'доказательств', 'некотор', 'язык', 'цикл', 'граф', 'множеств', 'элемент']",al-103,510
5,"['решетк', 'тождеств', 'элемент', 'имеет', 'λ', 'степен', 'пол', 'групп', 'подрешетк', 'предложен', 'γ', 'π', 'многообраз', 'числ', 'интерпретируем', 'тип', 'решетк', 'предложен', 'степен', 'пол', 'имеет', 'множеств', 'λ', 'чисел', 'следств', 'γ', 'многообраз', 'π', 'π', 'многообраз', 'явля', 'имеет', 'числ', '∧', 'степен', 'чисел', 'подрешетк', 'решетк', 'γ', 'элемент', 'множеств', 'λ', 'решетк', 'π', 'λ', 'чисел', 'тип', 'изоморфн', 'элемент', 'γ', 'многообраз', 'явля', 'числ', 'множеств', 'групп', 'интерпретируем']",al-104,512
6,"['класс', 'поэт', 'случа', 'пуст', 'групп', '˜', 'либ', 'доказательств', 'подгрупп', 'автоморфизм', 'элемент', 'порожда', 'явля', 'φ', 'порожда', 'автоморфизм', 'явля', 'образ', 'элемент', 'свободн', 'групп', 'подгрупп', '˜', 'φ', 'класс', 'сопряжен', 'содерж', 'либ', 'автоморфизм', 'образ', 'групп', 'эндоморфизм', 'явля', 'подгрупп', 'φ', 'следовательн', '˜', 'элемент', 'порожда', 'класс', 'либ', 'пуст', 'порожда', 'групп', 'φ', 'пуст', 'содерж', 'следовательн', 'подгрупп', 'автоморфизм', '˜', 'элемент', 'явля', 'либ', 'случа', 'образ']",al-105,512
7,"['существ', 'конечн', 'некотор', 'модел', 'люб', 'след', 'семейств', 'вычислим', 'вложен', 'лемм', 'множеств', 'дерев', 'так', 'бесконечн', 'поддерев', 'дерев', 'высот', 'след', 'вычислим', 'лемм', 'так', 'котор', 'кажд', 'доказательств', 'модел', 'существ', 'люб', 'конечн', 'бесконечн', 'свойств', 'дерев', 'вершин', 'семейств', 'пуст', 'так', 'конечн', 'след', 'поддерев', 'вычислим', 'люб', 'существ', 'явля', 'вычислим', 'люб', 'размерн', 'пуст', 'кажд', 'множеств', 'дерев', 'так', 'существ', 'явля', 'бесконечн', 'вершин', 'поддерев', 'конечн']",al-106,510
8,"['формул', 'класс', 'логик', 'сил', 'случа', 'множеств', 'элементарн', '∧', 'свойств', 'кардинал', 'некотор', 'многообраз', 'люб', 'отношен', 'случа', 'конгруэнц', 'полугрупп', 'многообраз', 'порядк', 'бесконечн', 'мест', 'имеет', 'втор', 'люб', 'множеств', 'логик', 'формул', 'отношен', 'пуст', 'элемент', 'совпада', '∧', 'мест', 'сил', 'конгруэнц', 'многообраз', 'втор', 'решетк', 'множеств', 'отношен', 'люб', 'формул', 'некотор', 'люб', 'отношен', 'свойств', 'формул', 'имеет', 'кардинал', 'эквивалентн', 'многообраз', 'множеств', 'логик', 'полугрупп', 'пуст', 'мест']",al-107,512
9,"['подгрупп', 'произвольн', 'гомоморфизм', 'групп', 'абелев', 'вытека', 'квазимногообраз', 'доминион', 'решетк', 'пуст', 'явля', 'циклическ', 'люб', 'множеств', 'подгрупп', 'доминион', 'решетк', 'пуст', 'произвольн', 'групп', 'квазимногообраз', 'абелев', 'вытека', 'множеств', 'люб', 'котор', 'циклическ', 'гомоморфизм', 'квазимногообраз', 'котор', 'решетк', 'гомоморфизм', 'явля', 'циклическ', 'групп', 'абелев', 'доминион', 'подгрупп', 'люб', 'произвольн', 'пуст', 'вытека', 'решетк', 'доминион', 'квазимногообраз', 'абелев', 'групп', 'произвольн', 'пуст', 'подгрупп', 'явля', 'вытека', 'гомоморфизм', 'циклическ', 'множеств', 'котор']",al-108,512
10,"['язык', 'конечн', 'так', 'теорем', 'мощност', 'теор', 'фрагмент', 'надстройк', 'модел', 'κ', 'сигнатур', 'множеств', 'наследствен', 'пуст', 'символ', 'фрагмент', 'услов', 'язык', 'сигнатур', 'элемент', 'так', 'котор', 'допустим', 'наследствен', 'формул', 'κ', 'модел', 'теор', 'бесконечн', 'существ', 'символ', 'числ', 'сколемовск', 'определен', 'котор', 'так', 'имеет', 'кажд', 'формул', 'теор', 'модел', 'конечн', 'κ', 'теор', 'фрагмент', 'надстроек', 'множеств', 'так', 'элемент', 'модел', 'конечн', 'сигнатур', 'язык', 'наследствен', 'пуст', 'мощност']",al-109,510
11,"['конечн', 'относительн', 'так', 'числ', 'люб', 'прям', 'дерев', 'пуст', 'плотн', 'модел', 'ω', 'элемент', 'явля', 'некотор', 'элемент', 'неразложим', 'ω', 'след', 'числ', 'плотн', 'дерев', 'пуст', 'явля', 'конечн', 'модел', 'некотор', 'относительн', 'множеств', 'модел', 'явля', 'пуст', 'прям', 'плотн', 'относительн', 'дерев', 'элемент', 'ω', 'некотор', 'множеств', 'конечн', 'числ', 'полож', 'так', 'пуст', 'модел', 'плотн', 'дерев', 'ω', 'числ', 'относительн', 'элемент', 'явля', 'неразложим', 'множеств', 'конечн', 'некотор']",al-11,510
12,"['вычислим', 'σ', 'множеств', 'пуст', 'нумерац', 'семейств', 'явля', 'некотор', 'кажд', 'пуст', 'явля', 'семейств', 'нумерац', 'множеств', 'σ', 'вычислим', 'кажд', 'некотор', 'множеств', 'σ', 'кажд', 'пуст', 'семейств', 'нумерац', 'явля', 'вычислим', 'некотор', 'нумерац', 'множеств', 'явля', 'σ', 'семейств', 'вычислим', 'кажд', 'некотор', 'пуст']",al-110,510
13,"['порядк', 'прост', 'конечн', 'граф', 'элемент', 'множеств', 'порядк', 'конечн', 'граф', 'прост', 'элемент', 'множеств', 'порядк', 'конечн', 'элемент', 'прост', 'граф', 'множеств', 'прост', 'конечн', 'порядк', 'граф', 'элемент', 'множеств']",al-111,512
